,NN.XX.YY
1,1;-80.95;-4.1667
2,2;-80.8833;-4.05
3,3;-80.5388;-3.626
4,4;-80.6833;-4.0333
5,5;-80.5295;-4.0055
6,6;-80.5295;-4
7,7;-80.65;-3.9333
8,8;-80.641;-3.841
9,9;-80.4833;-4.0667
10,10;-80.3667;-3.7
11,11;-80.4589;-3.764
12,12;-80.5021;-3.5179
13,13;-80.4333;-3.9667
14,14;-80.4333;-3.55
15,15;-80.148;-3.8852
16,16;-80.1833;-3.9167
17,17;-80.4667;-3.5147
18,18;-80.4;-3.7667
19,19;-80.5009;-3.8048
20,20;-80.5053;-3.8119
21,21;-80.3836;-3.5503
22,22;-80.3222;-3.5167
23,23;-80.4020;-3.4671
24,24;-80.2833;-3.5
25,25;-80.2667;-3.8167
26,26;-80.1667;-3.8167
27,27;-80.2167;-3.7
28,28;-80.2;-3.6667
29,29;-80.2333;-3.5667
30,30;-81.15;-4.25
31,31;-81.05;-4.15
32,32;-81.05;-4.25
33,33;-80.95;-4.15
34,34;-80.95;-4.25
35,35;-80.85;-4.15
36,36;-80.85;-4.25
37,37;-80.75;-4.25
38,38;-80.95;-4.05
39,39;-80.85;-4.05
40,40;-80.75;-3.95
41,41;-80.75;-4.05
42,42;-80.75;-4.15
43,43;-80.65;-4.15
44,44;-80.95;-3.95
45,45;-80.85;-3.95
46,46;-80.75;-3.75
47,47;-80.75;-3.85
48,48;-80.65;-3.75
49,49;-80.65;-3.85
50,50;-80.65;-3.95
51,51;-80.65;-4.05
52,52;-80.55;-3.85
53,53;-80.55;-3.95
54,54;-80.55;-3.65
55,55;-80.65;-4.25
56,56;-80.55;-3.75
57,57;-80.55;-4.05
58,58;-80.55;-4.15
59,59;-80.55;-4.25
60,60;-80.45;-3.55
61,61;-80.45;-3.65
62,62;-80.45;-3.75
63,63;-80.45;-3.85
64,64;-80.45;-3.95
65,65;-80.45;-4.05
66,66;-80.45;-4.15
67,67;-80.45;-4.25
68,68;-80.35;-3.65
69,69;-80.35;-3.75
70,70;-80.35;-3.85
71,71;-80.35;-3.95
72,72;-80.35;-4.05
73,73;-80.35;-4.15
74,74;-80.35;-4.25
75,75;-80.25;-3.95
76,76;-80.25;-4.05
77,77;-80.25;-4.15
78,78;-80.25;-4.25
79,79;-80.15;-3.85
80,80;-80.15;-3.95
81,81;-80.15;-4.05
82,82;-80.15;-4.15
83,83;-80.15;-4.25
84,84;-80.25;-3.65
85,85;-80.25;-3.75
86,86;-80.25;-3.85
87,87;-80.15;-3.35
88,88;-80.15;-3.45
89,89;-80.15;-3.55
90,90;-80.15;-3.65
91,91;-80.15;-3.75
92,92;-80.35;-3.55
93,93;-80.25;-3.35
94,94;-80.25;-3.45
95,95;-80.25;-3.55
